"","DP","Drop","OverHead","LatencyAvg","Settings","NrOfNodes"
"1","0.1425","5.7928","0.0048","1242.4915","BlosSec + 50% Malicious Nodes",10
"2","0.1275","6.5401","0.0107","1199.2255","BlosSec + 50% Malicious Nodes",10
"3","0.1309","6.367","0.0039","1166.5843","BlosSec + 50% Malicious Nodes",10
"4","0.1343","6.2333","0.0051","1303.9402","BlosSec + 50% Malicious Nodes",10
"5","0.1372","6.0863","0.0037","1357.8869","BlosSec + 50% Malicious Nodes",10
"6","0.2137","3.5128","0.0184","2369.5819","BlosSec + 50% Malicious Nodes",20
"7","0.2183","3.4126","0.0164","2428.1201","BlosSec + 50% Malicious Nodes",20
"8","0.2111","3.4419","0.0736","2485.0565","BlosSec + 50% Malicious Nodes",20
"9","0.212","3.5789","0.0073","2411.0633","BlosSec + 50% Malicious Nodes",20
"10","0.2139","3.4615","0.0272","2369.497","BlosSec + 50% Malicious Nodes",20
"11","0.3006","2.2194","0.008","3083.4256","BlosSec + 50% Malicious Nodes",30
"12","0.2958","2.2594","0.0168","3169.9028","BlosSec + 50% Malicious Nodes",30
"13","0.2898","2.3065","0.0136","3036.8693","BlosSec + 50% Malicious Nodes",30
"14","0.299","2.2205","0.0092","3065.3563","BlosSec + 50% Malicious Nodes",30
"15","0.3119","2.0894","0.0093","3001.2303","BlosSec + 50% Malicious Nodes",30
"16","0.3583","1.6393","0.0924","3778.4945","BlosSec + 50% Malicious Nodes",40
"17","0.3566","1.7069","0.0105","3832.0203","BlosSec + 50% Malicious Nodes",40
"18","0.3571","1.6891","0.0215","3783.1348","BlosSec + 50% Malicious Nodes",40
"19","0.3496","1.7335","0.0405","3859.0468","BlosSec + 50% Malicious Nodes",40
"20","0.3689","1.6188","0.0079","3735.8761","BlosSec + 50% Malicious Nodes",40
"21","0.4548","1.1008","0.0527","4054.996","BlosSec + 50% Malicious Nodes",50
"22","0.4404","1.182","0.0128","3865.7619","BlosSec + 50% Malicious Nodes",50
"23","0.4437","1.1593","0.0131","4133.2839","BlosSec + 50% Malicious Nodes",50
"24","0.4594","1.0852","0.0168","3932.3939","BlosSec + 50% Malicious Nodes",50
"25","0.4495","1.1457","0.0118","4152.7169","BlosSec + 50% Malicious Nodes",50
"26","0.4787","0.9997","0.0129","4342.2974","BlosSec + 50% Malicious Nodes",60
"27","0.4874","0.9699","0.0123","4426.7338","BlosSec + 50% Malicious Nodes",60
"28","0.4778","1.0105","0.0082","4442.2966","BlosSec + 50% Malicious Nodes",60
"29","0.4708","1.0373","0.0131","4412.1749","BlosSec + 50% Malicious Nodes",60
"30","0.4804","1.0007","0.0168","4316.9815","BlosSec + 50% Malicious Nodes",60
"31","0.5098","0.8766","0.0104","4663.4276","BlosSec + 50% Malicious Nodes",70
"32","0.5084","0.8794","0.0158","4787.0154","BlosSec + 50% Malicious Nodes",70
"33","0.4942","0.939","0.0152","4765.9225","BlosSec + 50% Malicious Nodes",70
"34","0.4988","0.9095","0.0278","4782.2379","BlosSec + 50% Malicious Nodes",70
"35","0.5034","0.9012","0.0136","4589.2559","BlosSec + 50% Malicious Nodes",70
"36","0.5237","0.8249","0.0095","4978.913","BlosSec + 50% Malicious Nodes",80
"37","0.5257","0.8197","0.0153","4774.7523","BlosSec + 50% Malicious Nodes",80
"38","0.5232","0.8265","0.0114","4968.1843","BlosSec + 50% Malicious Nodes",80
"39","0.5237","0.828","0.0134","4941.4629","BlosSec + 50% Malicious Nodes",80
"40","0.5182","0.8376","0.0274","4820.2073","BlosSec + 50% Malicious Nodes",80
"41","0.5366","0.7712","0.0197","5172.8688","BlosSec + 50% Malicious Nodes",90
"42","0.5506","0.7317","0.0152","5083.3593","BlosSec + 50% Malicious Nodes",90
"43","0.5497","0.7412","0.0152","5097.4094","BlosSec + 50% Malicious Nodes",90
"44","0.5426","0.7599","0.0123","5150.7817","BlosSec + 50% Malicious Nodes",90
"45","0.5434","0.7536","0.0173","5034.9378","BlosSec + 50% Malicious Nodes",90
"46","0.7136","0.3308","0.0151","5568.171","BlosSec + 50% Malicious Nodes",100
"47","0.7141","0.3263","0.0146","5572.4933","BlosSec + 50% Malicious Nodes",100
"48","0.7141","0.3232","0.0139","5530.5332","BlosSec + 50% Malicious Nodes",100
"49","0.7119","0.3305","0.0146","5487.9347","BlosSec + 50% Malicious Nodes",100
"50","0.7087","0.3401","0.0111","5576.9579","BlosSec + 50% Malicious Nodes",100
