"","DP","Drop","OverHead","LatencyAvg","Settings","NrOfNodes"
"1","0.169","2.1414","1.41","910.54","0.1H0.0S0.8A (1)",10
"2","0.169","2.1366","1.41","904.1192","0.1H0.0S1A (2)",10
"3","0.183","4.2808","0.01","954.763","0.1H10000.0S0.8A (3)",10
"4","0.183","4.2808","0.01","954.763","0.1H10000.0S1A (4)",10
"5","0.182","4.2934","0.01","952.1622","0.1H20000.0S0.8A (5)",10
"6","0.182","4.2934","0.01","952.1622","0.1H20000.0S1A (6)",10
"7","0.169","2.154","1.37","903.153","0.2H0.0S0.8A (7)",10
"8","0.168","2.1508","1.38","903.2632","0.2H0.0S1A (8)",10
"9","0.183","4.2808","0.01","954.763","0.2H10000.0S0.8A (9)",10
"10","0.183","4.2808","0.01","954.763","0.2H10000.0S1A (10)",10
"11","0.182","4.2934","0.01","952.1622","0.2H20000.0S0.8A (11)",10
"12","0.182","4.2934","0.01","952.1622","0.2H20000.0S1A (12)",10
"13","0.171","1.8214","4.37","899.5393","PRoPHET",10
"14","0.154","0.8502","5.18","861.1194","Fist Contact",10
"15","0.17","1.4813","7.99","935.0109","Epidemic",10
"16","0.271","1.1063","3.73","1774.5176","0.1H0.0S0.8A (1)",20
"17","0.273","1.0992","3.72","1770.1526","0.1H0.0S1A (2)",20
"18","0.32","1.9818","0.04","1956.4404","0.1H10000.0S0.8A (3)",20
"19","0.319","1.9823","0.04","1954.0838","0.1H10000.0S1A (4)",20
"20","0.32","2.0026","0.02","1954.0661","0.1H20000.0S0.8A (5)",20
"21","0.321","2.0026","0.02","1953.5682","0.1H20000.0S1A (6)",20
"22","0.27","1.0889","3.73","1767.5662","0.2H0.0S0.8A (7)",20
"23","0.269","1.0843","3.73","1747.1089","0.2H0.0S1A (8)",20
"24","0.32","1.9842","0.03","1955.9399","0.2H10000.0S0.8A (9)",20
"25","0.32","1.9777","0.04","1953.5128","0.2H10000.0S1A (10)",20
"26","0.321","2.0046","0.01","1953.5682","0.2H20000.0S0.8A (11)",20
"27","0.321","2.0031","0.02","1953.5682","0.2H20000.0S1A (12)",20
"28","0.256","1.1567","13.21","1632.9679","PRoPHET",20
"29","0.198","0.2786","12.84","1402.6564","Fist Contact",20
"30","0.223","1.1193","19.72","1557.9154","Epidemic",20
"31","0.304","0.8606","9.85","2016.441","0.1H0.0S0.8A (1)",30
"32","0.301","0.8541","9.87","2013.5678","0.1H0.0S1A (2)",30
"33","0.416","1.2477","0.14","2883.3556","0.1H10000.0S0.8A (3)",30
"34","0.416","1.244","0.14","2882.0522","0.1H10000.0S1A (4)",30
"35","0.419","1.2784","0.05","2901.0922","0.1H20000.0S0.8A (5)",30
"36","0.419","1.2789","0.05","2898.8965","0.1H20000.0S1A (6)",30
"37","0.304","0.8374","9.49","1986.5937","0.2H0.0S0.8A (7)",30
"38","0.3","0.8375","9.54","2012.7502","0.2H0.0S1A (8)",30
"39","0.416","1.2453","0.12","2891.6306","0.2H10000.0S0.8A (9)",30
"40","0.417","1.2432","0.12","2888.2726","0.2H10000.0S1A (10)",30
"41","0.418","1.2813","0.04","2898.6751","0.2H20000.0S0.8A (11)",30
"42","0.419","1.2835","0.04","2901.1724","0.2H20000.0S1A (12)",30
"43","0.294","1.038","28.66","2048.5408","PRoPHET",30
"44","0.237","0.1456","20.16","1824.8996","Fist Contact",30
"45","0.224","1.0368","42.42","1611.195","Epidemic",30
"46","0.316","0.7941","18.49","2060.8198","0.1H0.0S0.8A (1)",40
"47","0.316","0.7824","18.52","2093.8411","0.1H0.0S1A (2)",40
"48","0.495","0.8863","0.2","3639.1162","0.1H10000.0S0.8A (3)",40
"49","0.496","0.8815","0.2","3633.5481","0.1H10000.0S1A (4)",40
"50","0.51","0.8772","0.04","3732.2722","0.1H20000.0S0.8A (5)",40
"51","0.51","0.8737","0.04","3730.7914","0.1H20000.0S1A (6)",40
"52","0.312","0.7782","18.18","2076.9981","0.2H0.0S0.8A (7)",40
"53","0.313","0.768","18.04","2089.3874","0.2H0.0S1A (8)",40
"54","0.497","0.8745","0.2","3651.2358","0.2H10000.0S0.8A (9)",40
"55","0.498","0.8755","0.19","3652.1672","0.2H10000.0S1A (10)",40
"56","0.51","0.8774","0.04","3736.4423","0.2H20000.0S0.8A (11)",40
"57","0.51","0.874","0.04","3733.3143","0.2H20000.0S1A (12)",40
"58","0.296","1.0043","50.82","2219.0416","PRoPHET",40
"59","0.249","0.0963","28.71","2073.3201","Fist Contact",40
"60","0.221","1.0067","71.56","1697.9909","Epidemic",40
"61","0.347","0.7283","33.18","1793.0263","0.1H0.0S0.8A (1)",50
"62","0.354","0.7136","33.16","1867.1622","0.1H0.0S1A (2)",50
"63","0.607","0.5802","0.18","4018.7606","0.1H10000.0S0.8A (3)",50
"64","0.606","0.5688","0.19","3982.348","0.1H10000.0S1A (4)",50
"65","0.612","0.5573","0.07","4019.1884","0.1H20000.0S0.8A (5)",50
"66","0.613","0.554","0.06","4029.3296","0.1H20000.0S1A (6)",50
"67","0.358","0.6971","31.74","1841.0982","0.2H0.0S0.8A (7)",50
"68","0.359","0.6908","31.97","1788.3802","0.2H0.0S1A (8)",50
"69","0.607","0.5714","0.18","3983.5918","0.2H10000.0S0.8A (9)",50
"70","0.608","0.5611","0.22","3974.3962","0.2H10000.0S1A (10)",50
"71","0.614","0.554","0.06","4028.2247","0.2H20000.0S0.8A (11)",50
"72","0.614","0.5472","0.08","4027.3097","0.2H20000.0S1A (12)",50
"73","0.583","0.971","42.72","1609.007","PRoPHET",50
"74","0.297","0.0581","37.36","2204.1429","Fist Contact",50
"75","0.354","0.9493","90.23","1838.6935","Epidemic",50
"76","0.34","0.73","51.65","1849.0633","0.1H0.0S0.8A (1)",60
"77","0.34","0.7122","51.72","1817.9535","0.1H0.0S1A (2)",60
"78","0.622","0.5412","0.37","4297.6061","0.1H10000.0S0.8A (3)",60
"79","0.615","0.5321","0.49","4211.1236","0.1H10000.0S1A (4)",60
"80","0.645","0.4758","0.07","4551.019","0.1H20000.0S0.8A (5)",60
"81","0.642","0.4773","0.1","4523.1417","0.1H20000.0S1A (6)",60
"82","0.345","0.6983","48.38","1845.2925","0.2H0.0S0.8A (7)",60
"83","0.344","0.6897","49.98","1804.3253","0.2H0.0S1A (8)",60
"84","0.619","0.5343","0.39","4266.7003","0.2H10000.0S0.8A (9)",60
"85","0.609","0.5348","0.49","4179.4692","0.2H10000.0S1A (10)",60
"86","0.644","0.471","0.07","4537.3024","0.2H20000.0S0.8A (11)",60
"87","0.644","0.4715","0.08","4540.813","0.2H20000.0S1A (12)",60
"88","0.552","0.9692","64.49","1607.8713","PRoPHET",60
"89","0.33","0.0445","41.66","2384.3124","Fist Contact",60
"90","0.33","0.9505","132.09","1817.5968","Epidemic",60
"91","0.325","0.7248","72.37","1732.2956","0.1H0.0S0.8A (1)",70
"92","0.326","0.7065","71.64","1769.3814","0.1H0.0S1A (2)",70
"93","0.655","0.4741","0.45","4600.9324","0.1H10000.0S0.8A (3)",70
"94","0.647","0.4616","0.57","4534.5061","0.1H10000.0S1A (4)",70
"95","0.675","0.4066","0.08","4938.3777","0.1H20000.0S0.8A (5)",70
"96","0.673","0.4098","0.1","4927.0467","0.1H20000.0S1A (6)",70
"97","0.325","0.7005","70.4","1750.9316","0.2H0.0S0.8A (7)",70
"98","0.33","0.6872","69.35","1832.9396","0.2H0.0S1A (8)",70
"99","0.65","0.4627","0.51","4585.9886","0.2H10000.0S0.8A (9)",70
"100","0.645","0.4639","0.58","4508.5531","0.2H10000.0S1A (10)",70
"101","0.675","0.4051","0.09","4933.1013","0.2H20000.0S0.8A (11)",70
"102","0.674","0.4078","0.11","4930.5144","0.2H20000.0S1A (12)",70
"103","0.531","0.9673","89.1","1572.0947","PRoPHET",70
"104","0.321","0.0373","51.94","2635.4041","Fist Contact",70
"105","0.322","0.9493","176.24","1832.1113","Epidemic",70
"106","0.322","0.7313","98.26","1650.0272","0.1H0.0S0.8A (1)",80
"107","0.32","0.7098","99.62","1657.5912","0.1H0.0S1A (2)",80
"108","0.653","0.4697","0.73","4810.1061","0.1H10000.0S0.8A (3)",80
"109","0.649","0.4507","0.89","4725.0641","0.1H10000.0S1A (4)",80
"110","0.693","0.3803","0.13","5225.558","0.1H20000.0S0.8A (5)",80
"111","0.69","0.3828","0.17","5206.9368","0.1H20000.0S1A (6)",80
"112","0.32","0.7008","95.74","1673.2204","0.2H0.0S0.8A (7)",80
"113","0.328","0.6874","92.71","1735.5516","0.2H0.0S1A (8)",80
"114","0.656","0.4546","0.76","4778.7291","0.2H10000.0S0.8A (9)",80
"115","0.647","0.4627","0.84","4728.6385","0.2H10000.0S1A (10)",80
"116","0.693","0.3743","0.12","5219.3487","0.2H20000.0S0.8A (11)",80
"117","0.691","0.3862","0.16","5207.8907","0.2H20000.0S1A (12)",80
"118","0.507","0.967","119.42","1573.834","PRoPHET",80
"119","0.329","0.0317","59.48","2606.0913","Fist Contact",80
"120","0.297","0.9516","242.01","1865.5078","Epidemic",80
"121","0.319","0.7285","124.15","1709.3941","0.1H0.0S0.8A (1)",90
"122","0.32","0.7042","124.39","1712.7997","0.1H0.0S1A (2)",90
"123","0.672","0.437","0.92","5006.3068","0.1H10000.0S0.8A (3)",90
"124","0.653","0.4506","1.23","4825.8478","0.1H10000.0S1A (4)",90
