"","DP","Drop","OverHead","LatencyAvg","Algorithm","NrOfNodes"
"1",0.1826,0.679315797038954,0.0075,954.763,"Blossom",10
"2",0.3206,0.498202824133504,0.0149,1953.5682,"Blossom",20
"3",0.4194,0.393817363496388,0.0457,2901.0922,"Blossom",30
"4",0.5097,0.305716192170819,0.0362,3732.2722,"Blossom",40
"5",0.6137,0.220803295571576,0.0575,4028.2247,"Blossom",50
"6",0.6447,0.196683417085427,0.0741,4551.019,"Blossom",60
"7",0.6754,0.172848007870143,0.0785,4938.3777,"Blossom",70
"8",0.6929,0.165009560229446,0.117,5219.3487,"Blossom",80
"9",0.6975,0.17163769441903,0.2224,5457.3898,"Blossom",90
"10",0.7121,0.157457031971909,0.1753,5495.0953,"Blossom",100
"11",0.1712,0.889112374289462,4.3703,899.5393,"PRoPHET",10
"12",0.2561,0.914297988114842,13.2121,1632.9679,"PRoPHET",20
"13",0.2942,0.934796664965118,28.6649,2048.5408,"PRoPHET",30
"14",0.2965,0.945086908823737,50.8215,2219.0416,"PRoPHET",40
"15",0.5834,0.935836935154811,42.7229,1609.007,"PRoPHET",50
"16",0.5525,0.94415547046194,64.4936,1607.8713,"PRoPHET",60
"17",0.5308,0.948217286045705,89.098,1572.0947,"PRoPHET",70
"18",0.5066,0.952043787490652,119.4229,1573.834,"PRoPHET",80
"19",0.4912,0.955331241304877,157.7958,1515.9129,"PRoPHET",90
"20",0.4813,0.955719781402551,193.7808,1539.3156,"PRoPHET",100
"21",0.1538,0.421944922547332,5.1833,861.1194,"FirstContact",10
"22",0.1985,0.206042000355935,12.8434,1402.6564,"FirstContact",20
"23",0.2366,0.121907783064808,20.1592,1824.8996,"FirstContact",30
"24",0.2494,0.085114375531347,28.7064,2073.3201,"FirstContact",40
"25",0.2973,0.053531876284258,37.3566,2204.1429,"FirstContact",50
"26",0.3305,0.0416347437777729,41.6625,2384.3124,"FirstContact",60
"27",0.3207,0.0352960626016036,51.9445,2635.4041,"FirstContact",70
"28",0.3289,0.0301896937541019,59.4823,2606.0913,"FirstContact",80
"29",0.3511,0.0256592419240252,63.568,2859.966,"FirstContact",90
"30",0.345,0.0226405417122062,74.4554,2958.469,"FirstContact",100
"31",0.1698,0.908020895325002,7.9889,935.0109,"Epidemic",10
"32",0.2234,0.926703109386939,19.7248,1557.9154,"Epidemic",20
"33",0.2242,0.943411055802987,42.4229,1611.195,"Epidemic",30
"34",0.2206,0.949595778670669,71.565,1697.9909,"Epidemic",40
