"","DP","Drop","OverHead","LatencyAvg","Settings","NrOfNodes"
"1","0.182","4.2895","0.01","952.1622","BlosSec",10
"2","0.164","4.8759","0.01","899.329","BlosSec",10
"3","0.173","4.5596","0.01","894.8741","BlosSec",10
"4","0.172","4.6207","0.01","948.222","BlosSec",10
"5","0.176","4.5237","0","1009.3118","BlosSec",10
"6","0.32","2.0052","0.02","1953.1796","BlosSec",20
"7","0.311","2.0841","0.02","1946.52","BlosSec",20
"8","0.314","2.0583","0.02","1968.4896","BlosSec",20
"9","0.314","2.0562","0.02","1951.2897","BlosSec",20
"10","0.321","1.9644","0.03","1920.1371","BlosSec",20
"11","0.418","1.288","0.02","2897.4194","BlosSec",30
"12","0.412","1.3264","0.02","2888.3926","BlosSec",30
"13","0.406","1.3522","0.02","2853.5604","BlosSec",30
"14","0.421","1.2756","0.02","2843.395","BlosSec",30
"15","0.433","1.2167","0.02","2875.4686","BlosSec",30
"16","0.51","0.8831","0.02","3736.2886","BlosSec",40
"17","0.504","0.9005","0.02","3773.2194","BlosSec",40
"18","0.512","0.87","0.02","3705.682","BlosSec",40
"19","0.497","0.9204","0.03","3745.2186","BlosSec",40
"20","0.519","0.845","0.02","3602.7072","BlosSec",40
"21","0.614","0.5531","0.02","4049.2202","BlosSec",50
"22","0.603","0.5855","0.02","3986.7108","BlosSec",50
"23","0.599","0.593","0.02","4136.0393","BlosSec",50
"24","0.615","0.554","0.02","3993.2039","BlosSec",50
"25","0.614","0.5607","0.02","4172.2239","BlosSec",50
"26","0.646","0.4714","0.02","4562.1833","BlosSec",60
"27","0.654","0.4577","0.02","4590.5821","BlosSec",60
"28","0.64","0.4838","0.02","4612.1513","BlosSec",60
"29","0.637","0.4947","0.02","4559.473","BlosSec",60
"30","0.651","0.4683","0.02","4551.4092","BlosSec",60
"31","0.677","0.4042","0.02","4964.1257","BlosSec",70
"32","0.683","0.391","0.02","5021.2636","BlosSec",70
"33","0.661","0.438","0.02","4987.3279","BlosSec",70
"34","0.667","0.4164","0.03","4892.5371","BlosSec",70
"35","0.678","0.4018","0.02","4855.7158","BlosSec",70
"36","0.694","0.3683","0.02","5241.3224","BlosSec",80
"37","0.688","0.3797","0.02","5138.3461","BlosSec",80
"38","0.691","0.3714","0.02","5228.858","BlosSec",80
"39","0.691","0.3713","0.02","5261.8675","BlosSec",80
"40","0.679","0.3867","0.02","5130.6154","BlosSec",80
"41","0.704","0.3398","0.03","5517.9207","BlosSec",90
"42","0.715","0.3226","0.03","5354.5192","BlosSec",90
"43","0.72","0.3218","0.02","5448.9328","BlosSec",90
"44","0.711","0.3329","0.02","5422.0418","BlosSec",90
"45","0.71","0.337","0.03","5339.0372","BlosSec",90
"46","0.714","0.3263","0.03","5564.7053","BlosSec",100
"47","0.715","0.3231","0.03","5556.1812","BlosSec",100
"48","0.717","0.3169","0.03","5541.0659","BlosSec",100
"49","0.712","0.3276","0.03","5485.1631","BlosSec",100
"50","0.71","0.3349","0.03","5567.7136","BlosSec",100
