"","clusterSize","clusterSizeEnd","Settings","NrOfNodes"
"1","2.2","2.5","BlosSec",10
"2","1.375","1.429","BlosSec",10
"3","1.667","1.667","BlosSec",10
"4","1.714","1.667","BlosSec",10
"5","1.556","2","BlosSec",10
"6","1.933","1.818","BlosSec",20
"7","2.231","2.5","BlosSec",20
"8","2.083","2.222","BlosSec",20
"9","2.8","2.857","BlosSec",20
"10","1.533","1.667","BlosSec",20
"11","2.81","4.286","BlosSec",30
"12","2.091","2.727","BlosSec",30
"13","2.261","3.1","BlosSec",30
"14","3.625","5","BlosSec",30
"15","2.882","3","BlosSec",30
"16","2.281","3.077","BlosSec",40
"17","2.152","2.667","BlosSec",40
"18","1.727","2.105","BlosSec",40
"19","2.103","2.857","BlosSec",40
"20","1.9","2.05","BlosSec",40
"21","3.226","5","BlosSec",50
"22","2.472","4.167","BlosSec",50
"23","2.788","4.545","BlosSec",50
"24","3.5","6.25","BlosSec",50
"25","2.697","4.545","BlosSec",50
"26","2.714","5","BlosSec",60
"27","2.457","5","BlosSec",60
"28","3.595","6.667","BlosSec",60
"29","3.216","6.1","BlosSec",60
"30","3.282","5.455","BlosSec",60
"31","3.213","5.917","BlosSec",70
"32","3.34","6.636","BlosSec",70
"33","2.717","5.833","BlosSec",70
"34","3.267","5.833","BlosSec",70
"35","3.87","6.25","BlosSec",70
"36","3.281","6.833","BlosSec",80
"37","3.537","7.273","BlosSec",80
"38","3.222","6.308","BlosSec",80
"39","3.217","8.2","BlosSec",80
"40","3.293","8.1","BlosSec",80
"41","3.406","10.111","BlosSec",90
"42","3.418","8.273","BlosSec",90
"43","3.683","8.182","BlosSec",90
"44","4.339","8.545","BlosSec",90
"45","3.758","9","BlosSec",90
"46","3.284","8.417","BlosSec",100
"47","3.48","8.333","BlosSec",100
"48","3.75","8.583","BlosSec",100
"49","3.314","8.417","BlosSec",100
"50","3.446","10","BlosSec",100
