"","clusterSize","clusterSizeEnd","Settings","NrOfNodes"
"1","1.266","NaN","Blossom",10
"1","1.246","NaN","Blossom",10
"2","1.247","NaN","Blossom",10
"3","1.204","NaN","Blossom",10
"4","1.241","3","Blossom",10
"5","1.356","2.5","Blossom",20
"5","1.335","1.375","Blossom",20
"6","1.372","2","Blossom",20
"7","1.316","1.667","Blossom",20
"8","1.324","2","Blossom",20
"9","1.229","1.5","Blossom",30
"9","1.229","1.833","Blossom",30
"10","1.226","1.429","Blossom",30
"11","1.224","3","Blossom",30
"12","1.239","1.75","Blossom",30
"13","1.235","2.0","Blossom",40
"13","1.232","1.5","Blossom",40
"14","1.384","1.625","Blossom",40
"15","1.239","1.6","Blossom",40
"16","1.388","1.6","Blossom",40
"17","1.366","2","Blossom",50
"17","1.366","2","Blossom",50
"18","1.365","2.063","Blossom",50
"19","1.383","1.769","Blossom",50
"20","1.356","1.583","Blossom",50
"21","1.247","1.839","Blossom",60
"21","1.247","1.429","Blossom",60
"22","1.244","1.783","Blossom",60
"23","1.253","1.708","Blossom",60
"24","1.248","2","Blossom",60
"25","1.252","1.697","Blossom",70
"25","1.25","1.571","Blossom",70
"26","1.423","1.773","Blossom",70
"27","1.249","1.8","Blossom",70
"28","1.441","1.774","Blossom",70
"29","1.395","2.088","Blossom",80
"29","1.397","1.6","Blossom",80
"30","1.41","1.758","Blossom",80
"31","1.401","2.067","Blossom",80
"32","1.401","2.148","Blossom",80
"33","1.264","1.8","Blossom",90
"33","1.268","1.889","Blossom",90
"34","1.408","2.045","Blossom",90
"35","1.267","1.949","Blossom",90
"36","1.413","2.051","Blossom",90
"37","1.269","2.209","Blossom",100
"37","1.269","1.898","Blossom",100
"38","1.271","1.736","Blossom",100
"39","1.267","1.75","Blossom",100
"40","1.269","1.761","Blossom",100
