"","DP","Drop","OverHead","LatencyAvg","Settings","NrOfNodes"
"1","0.2583","2.7795","0.0033","923.7471","BlosSec + 10% Malicious Nodes",10
"2","0.2247","3.2978","0.016","948.4071","BlosSec + 10% Malicious Nodes",10
"3","0.246","2.9191","0.016","950.7823","BlosSec + 10% Malicious Nodes",10
"4","0.2506","2.8549","0.0027","928.0476","BlosSec + 10% Malicious Nodes",10
"5","0.2496","2.8733","0.0055","933.4793","BlosSec + 10% Malicious Nodes",10
"6","0.4134","1.3448","0.0091","1953.6869","BlosSec + 10% Malicious Nodes",20
"7","0.3978","1.4315","0.0082","1914.9822","BlosSec + 10% Malicious Nodes",20
"8","0.3934","1.4474","0.0182","1912.5961","BlosSec + 10% Malicious Nodes",20
"9","0.3914","1.4714","0.0083","1945.9168","BlosSec + 10% Malicious Nodes",20
"10","0.3992","1.416","0.0158","1974.9783","BlosSec + 10% Malicious Nodes",20
"11","0.5128","0.8732","0.0134","2778.4683","BlosSec + 10% Malicious Nodes",30
"12","0.5068","0.9058","0.0263","2776.0804","BlosSec + 10% Malicious Nodes",30
"13","0.514","0.8777","0.0147","2722.8809","BlosSec + 10% Malicious Nodes",30
"14","0.5257","0.8434","0.0094","2868.0489","BlosSec + 10% Malicious Nodes",30
"15","0.5142","0.8725","0.0136","2824.9815","BlosSec + 10% Malicious Nodes",30
"16","0.6096","0.58","0.0106","3592.1289","BlosSec + 10% Malicious Nodes",40
"17","0.6313","0.5325","0.0116","3582.3535","BlosSec + 10% Malicious Nodes",40
"18","0.6173","0.5654","0.0207","3521.7153","BlosSec + 10% Malicious Nodes",40
"19","0.6197","0.5569","0.016","3569.6358","BlosSec + 10% Malicious Nodes",40
"20","0.6185","0.5567","0.0163","3583.3248","BlosSec + 10% Malicious Nodes",40
"21","0.7175","0.3465","0.0169","3841.9416","BlosSec + 10% Malicious Nodes",50
"22","0.6932","0.3947","0.0131","3819.6414","BlosSec + 10% Malicious Nodes",50
"23","0.6899","0.4022","0.0271","3945.4092","BlosSec + 10% Malicious Nodes",50
"24","0.6938","0.384","0.017","3967.6329","BlosSec + 10% Malicious Nodes",50
"25","0.6991","0.3774","0.013","3782.8225","BlosSec + 10% Malicious Nodes",50
"26","0.7225","0.3369","0.0254","4239.6831","BlosSec + 10% Malicious Nodes",60
"27","0.7291","0.3209","0.0136","4221.6166","BlosSec + 10% Malicious Nodes",60
"28","0.7418","0.3037","0.0245","4181.3664","BlosSec + 10% Malicious Nodes",60
"29","0.7408","0.2954","0.0118","4295.7336","BlosSec + 10% Malicious Nodes",60
"30","0.7278","0.3218","0.0195","4212.426","BlosSec + 10% Malicious Nodes",60
"31","0.758","0.2653","0.0172","4588.8948","BlosSec + 10% Malicious Nodes",70
"32","0.7394","0.2918","0.0181","4534.1719","BlosSec + 10% Malicious Nodes",70
"33","0.742","0.2918","0.0152","4574.4223","BlosSec + 10% Malicious Nodes",70
"34","0.7486","0.2797","0.0194","4459.5853","BlosSec + 10% Malicious Nodes",70
"35","0.7469","0.2835","0.0153","4549.3614","BlosSec + 10% Malicious Nodes",70
"36","0.7699","0.247","0.0131","4693.8628","BlosSec + 10% Malicious Nodes",80
"37","0.7589","0.2624","0.0214","4696.3284","BlosSec + 10% Malicious Nodes",80
"38","0.7822","0.2284","0.0188","4660.5331","BlosSec + 10% Malicious Nodes",80
"39","0.7653","0.2557","0.0141","4679.0306","BlosSec + 10% Malicious Nodes",80
"40","0.7685","0.246","0.0165","4669.7596","BlosSec + 10% Malicious Nodes",80
"41","0.7866","0.2199","0.0193","4769.3795","BlosSec + 10% Malicious Nodes",90
"42","0.7867","0.2197","0.016","4812.3171","BlosSec + 10% Malicious Nodes",90
"43","0.7896","0.2128","0.0162","4865.1722","BlosSec + 10% Malicious Nodes",90
"44","0.7907","0.2163","0.024","4733.7107","BlosSec + 10% Malicious Nodes",90
"45","0.7918","0.2127","0.0155","4764.5364","BlosSec + 10% Malicious Nodes",90
"46","0.7967","0.2374","0.0624","4833.0593","BlosSec + 10% Malicious Nodes",100
"47","0.8065","0.1893","0.0235","4972.7295","BlosSec + 10% Malicious Nodes",100
"48","0.8022","0.1926","0.0202","4953.2696","BlosSec + 10% Malicious Nodes",100
"49","0.7971","0.2001","0.0253","4879.1885","BlosSec + 10% Malicious Nodes",100
"50","0.7942","0.2048","0.0239","4785.6008","BlosSec + 10% Malicious Nodes",100
