"","DP","Drop","OverHead","LatencyAvg","Settings","NrOfNodes"
"1","0.246","1.7554","1.08","911.0888","0.1H0.0S0.8A (1)",10
"2","0.247","1.7423","1.07","910.9198","0.1H0.0S1A (2)",10
"3","0.258","2.7777","0","922.845","0.1H10000.0S0.8A (3)",10
"4","0.258","2.7777","0","922.845","0.1H10000.0S1A (4)",10
"5","0.258","2.7777","0","922.845","0.1H20000.0S0.8A (5)",10
"6","0.258","2.7777","0","922.845","0.1H20000.0S1A (6)",10
"7","0.248","1.7061","1.1","926.4935","0.2H0.0S0.8A (7)",10
"8","0.248","1.6962","1.1","922.0214","0.2H0.0S1A (8)",10
"9","0.258","2.7777","0","922.845","0.2H10000.0S0.8A (9)",10
"10","0.258","2.7777","0","922.845","0.2H10000.0S1A (10)",10
"11","0.258","2.7777","0","922.845","0.2H20000.0S0.8A (11)",10
"12","0.258","2.7777","0","922.845","0.2H20000.0S1A (12)",10
"13","0.238","1.5305","4.35","838.5751","PRoPHET",10
"14","0.204","0.6054","5.15","806.3475","Fist Contact",10
"15","0.223","1.3178","8.31","851.4315","Epidemic",10
"16","0.333","0.9081","5.69","1496.0736","0.1H0.0S0.8A (1)",20
"17","0.334","0.8997","5.63","1525.83","0.1H0.0S1A (2)",20
"18","0.423","1.2898","0.01","1921.6106","0.1H10000.0S0.8A (3)",20
"19","0.423","1.2888","0.01","1921.6106","0.1H10000.0S1A (4)",20
"20","0.424","1.2884","0.01","1927.2951","0.1H20000.0S0.8A (5)",20
"21","0.424","1.2875","0.01","1927.2951","0.1H20000.0S1A (6)",20
"22","0.341","0.8652","5.32","1519.6637","0.2H0.0S0.8A (7)",20
"23","0.334","0.8663","5.42","1524.0372","0.2H0.0S1A (8)",20
"24","0.423","1.2878","0.01","1920.9501","0.2H10000.0S0.8A (9)",20
"25","0.423","1.2888","0.01","1921.6106","0.2H10000.0S1A (10)",20
"26","0.424","1.2864","0.01","1926.6337","0.2H20000.0S0.8A (11)",20
"27","0.424","1.2875","0.01","1927.2951","0.2H20000.0S1A (12)",20
"28","0.319","1.0794","16.26","1515.1335","PRoPHET",20
"29","0.249","0.2008","13.34","1271.5631","Fist Contact",20
"30","0.251","1.0683","25.36","1352.9665","Epidemic",20
"31","0.343","0.8129","15.42","1538.0676","0.1H0.0S0.8A (1)",30
"32","0.348","0.7959","15.13","1537.8461","0.1H0.0S1A (2)",30
"33","0.531","0.8062","0.04","2769.616","0.1H10000.0S0.8A (3)",30
"34","0.532","0.8053","0.03","2773.7024","0.1H10000.0S1A (4)",30
"35","0.533","0.8037","0.02","2775.8624","0.1H20000.0S0.8A (5)",30
"36","0.533","0.8031","0.02","2775.5446","0.1H20000.0S1A (6)",30
"37","0.35","0.7596","14.23","1637.6494","0.2H0.0S0.8A (7)",30
"38","0.345","0.7541","14.56","1584.8322","0.2H0.0S1A (8)",30
"39","0.531","0.8054","0.04","2769.8702","0.2H10000.0S0.8A (9)",30
"40","0.531","0.8062","0.05","2765.549","0.2H10000.0S1A (10)",30
"41","0.533","0.8014","0.02","2778.4126","0.2H20000.0S0.8A (11)",30
"42","0.532","0.8026","0.04","2773.928","0.2H20000.0S1A (12)",30
