"","DP","Drop","OverHead","LatencyAvg","Algorithm","NrOfNodes"
"1",0.2583,0.579502433747972,0.004,922.845,"Blossom",10
"2",0.4235,0.390403619478509,0.0073,1927.2951,"Blossom",20
"3",0.5334,0.28748627881449,0.0231,2778.4126,"Blossom",30
"4",0.6352,0.206688484352628,0.0339,3545.3295,"Blossom",40
"5",0.7449,0.13078992888718,0.0317,3862.907,"Blossom",50
"6",0.7554,0.124438202247191,0.0764,4294.436,"Blossom",60
"7",0.7897,0.101290322580645,0.0641,4595.786,"Blossom",70
"8",0.8022,0.0954696928757993,0.0968,4686.1825,"Blossom",80
"9",0.8106,0.0907470137279372,0.1095,4766.8718,"Blossom",90
"10",0.827,0.0816398657006538,0.1172,4894.6678,"Blossom",100
"11",0.2378,0.871385475682437,4.3491,838.5751,"PRoPHET",10
"12",0.3186,0.91850663406932,16.2627,1515.1335,"PRoPHET",20
"13",0.321,0.939644942605712,39.6293,1731.2588,"PRoPHET",30
"14",0.3161,0.947535020616696,70.6733,1878.8994,"PRoPHET",40
"15",0.617,0.941838365513369,59.0289,1227.6909,"PRoPHET",50
"16",0.5734,0.94843397182839,90.6621,1231.801,"PRoPHET",60
"17",0.5595,0.951555381044541,123.6547,1199.5799,"PRoPHET",70
"18",0.529,0.954673628866462,169.5789,1233.5697,"PRoPHET",80
"19",0.5166,0.956643181543456,217.8504,1209.4309,"PRoPHET",90
"20",0.492,0.957333556313422,276.721,1173.6537,"PRoPHET",100
"21",0.2045,0.342411873840445,5.1495,806.3475,"FirstContact",10
"22",0.2487,0.157994461448768,13.3372,1271.5631,"FirstContact",20
"23",0.2915,0.0932835820895522,20.4833,1632.628,"FirstContact",30
"24",0.3033,0.0649156454181972,29.3185,1904.9131,"FirstContact",40
"25",0.3825,0.0394487010521143,34.9244,1877.6193,"FirstContact",50
"26",0.3875,0.0320811903012491,42.6698,2062.0729,"FirstContact",60
"27",0.4163,0.0255478666492191,47.94,2219.2845,"FirstContact",70
"28",0.4326,0.0214576322933052,54.0174,2335.0206,"FirstContact",80
"29",0.4515,0.0178220656873694,60.2475,2495.1861,"FirstContact",90
"30",0.45,0.0157789123421982,68.6919,2560.3713,"FirstContact",100
"31",0.2233,0.900578785092227,8.3114,851.4315,"Epidemic",10
"32",0.2506,0.932467645270564,25.3592,1352.9665,"Epidemic",20
"33",0.2477,0.946549337774427,54.2274,1358.4279,"Epidemic",30
"34",0.218,0.952128540665894,103.6437,1311.1226,"Epidemic",40
"35",0.3673,0.926569896727193,124.1497,1327.909,"Epidemic",50
"36",0.3265,0.933290764380848,192.0152,1383.2268,"Epidemic",60
"37",0.3102,0.937973105352213,264.3552,1367.554,"Epidemic",70
"38",0.2959,0.942268034984291,356.0139,1355.5485,"Epidemic",80
"39",0.2757,0.944389357233088,470.1101,1343.5086,"Epidemic",90
"40",0.2751,0.946700776127945,580.8614,1323.4856,"Epidemic",100
"41",0.2248,0.622083333333333,0.0068,950.2113,"Blossom",10
"42",0.406,0.406106685976346,0.0067,1880.4417,"Blossom",20
"43",0.5276,0.293495038588754,0.0299,2751.6004,"Blossom",30
"44",0.6574,0.191661606962153,0.0283,3557.8553,"Blossom",40
"45",0.7247,0.145738828298427,0.0489,3830.7757,"Blossom",50
"46",0.7588,0.122443261417764,0.0788,4237.3005,"Blossom",60
"47",0.769,0.117986649828613,0.1424,4572.1606,"Blossom",70
"48",0.7866,0.107715745138453,0.1334,4721.7072,"Blossom",80
"49",0.8128,0.0991959447649012,0.1486,4826.5102,"Blossom",90
"50",0.8338,0.0842419080068143,0.1843,5016.0581,"Blossom",100
"51",0.246,0.594550408719346,0.0118,953.8755,"Blossom",10
"52",0.4045,0.409156626506024,0.0122,1897.0212,"Blossom",20
"53",0.5354,0.288270594653573,0.0457,2709.1462,"Blossom",30
"54",0.6463,0.200872034070168,0.0388,3510.7633,"Blossom",40
"55",0.7193,0.14794991876135,0.0771,3971.8644,"Blossom",50
"56",0.7739,0.115583934851009,0.079,4206.7735,"Blossom",60
"57",0.7755,0.11554986744675,0.1072,4602.0453,"Blossom",70
"58",0.8089,0.101556386401183,0.175,4686.086,"Blossom",80
"59",0.8133,0.0988172780253685,0.1972,4879.174,"Blossom",90
"60",0.8273,0.0910261914984972,0.1759,4970.8288,"Blossom",100
"61",0.2505,0.587301587301587,0.0048,927.2254,"Blossom",10
"62",0.404,0.409189580318379,0.0097,1909.2,"Blossom",20
"63",0.5466,0.278501807030993,0.011,2849.4645,"Blossom",30
"64",0.6477,0.198993457473578,0.0554,3570.8914,"Blossom",40
"65",0.7236,0.145931405514459,0.0606,3975.221,"Blossom",50
"66",0.7697,0.114720433118641,0.0683,4316.7845,"Blossom",60
"67",0.7823,0.113139670833708,0.131,4495.6303,"Blossom",70
"68",0.7933,0.105970809376382,0.1528,4710.0074,"Blossom",80
"69",0.8154,0.0877765048030316,0.1289,4789.3488,"Blossom",90
