"","DP","Drop","OverHead","LatencyAvg","Settings","NrOfNodes"
"1","0.258","2.7795","0","923.7471","BlosSec",10
"2","0.225","3.3269","0.01","951.1475","BlosSec",10
"3","0.246","2.9366","0.01","953.0551","BlosSec",10
"4","0.251","2.8549","0","928.0476","BlosSec",10
"5","0.25","2.8733","0.01","933.4793","BlosSec",10
"6","0.424","1.2885","0.01","1925.6994","BlosSec",20
"7","0.406","1.3828","0.01","1884.952","BlosSec",20
"8","0.405","1.3751","0.02","1896.3232","BlosSec",20
"9","0.404","1.396","0.01","1910.1467","BlosSec",20
"10","0.412","1.3405","0.02","1931.1211","BlosSec",20
"11","0.533","0.802","0.01","2783.4657","BlosSec",30
"12","0.528","0.8268","0.01","2764.4282","BlosSec",30
"13","0.535","0.803","0.02","2715.1477","BlosSec",30
"14","0.547","0.7707","0.01","2852.1147","BlosSec",30
"15","0.537","0.7938","0.01","2810.3903","BlosSec",30
"16","0.637","0.5095","0.01","3557.0683","BlosSec",40
"17","0.658","0.4697","0.01","3576.3785","BlosSec",40
"18","0.645","0.4972","0.02","3517.0946","BlosSec",40
"19","0.647","0.4889","0.01","3574.192","BlosSec",40
"20","0.646","0.4885","0.02","3562.2408","BlosSec",40
"21","0.744","0.296","0.02","3863.3612","BlosSec",50
"22","0.723","0.3368","0.01","3851.5225","BlosSec",50
"23","0.718","0.3394","0.02","3983.8845","BlosSec",50
"24","0.727","0.3208","0.02","3997.4864","BlosSec",50
"25","0.725","0.3281","0.01","3780.8663","BlosSec",50
"26","0.756","0.2723","0.02","4307.5287","BlosSec",60
"27","0.759","0.2689","0.01","4253.7567","BlosSec",60
"28","0.774","0.2415","0.02","4224.0997","BlosSec",60
"29","0.772","0.241","0.01","4330.011","BlosSec",60
"30","0.761","0.2645","0.02","4230.9082","BlosSec",60
"31","0.79","0.2156","0.02","4610.13","BlosSec",70
"32","0.771","0.2377","0.02","4599.4972","BlosSec",70
"33","0.777","0.2328","0.02","4630.986","BlosSec",70
"34","0.783","0.2236","0.02","4524.5813","BlosSec",70
"35","0.782","0.2257","0.02","4597.5645","BlosSec",70
"36","0.803","0.1948","0.01","4706.429","BlosSec",80
"37","0.79","0.2132","0.02","4764.6508","BlosSec",80
"38","0.814","0.1783","0.02","4717.5837","BlosSec",80
"39","0.796","0.2045","0.02","4731.1983","BlosSec",80
"40","0.796","0.2002","0.02","4710.6969","BlosSec",80
"41","0.815","0.1771","0.02","4803.3171","BlosSec",90
"42","0.815","0.177","0.02","4861.2506","BlosSec",90
"43","0.818","0.1702","0.02","4910.2134","BlosSec",90
"44","0.818","0.1722","0.02","4783.737","BlosSec",90
"45","0.818","0.1721","0.02","4821.492","BlosSec",90
"46","0.825","0.1635","0.02","4900.7795","BlosSec",100
"47","0.835","0.1488","0.02","5036.2089","BlosSec",100
"48","0.83","0.153","0.02","5010.0618","BlosSec",100
"49","0.825","0.159","0.03","4914.0151","BlosSec",100
"50","0.824","0.1618","0.02","4846.7896","BlosSec",100
